PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,,7.25,S
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,,7.925,S
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803.0,53.1,S
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463.0,51.8625,S
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742.0,11.1333,S
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736.0,30.0708,C
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,,8.05,S
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706.0,16.0,S
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652.0,29.125,Q
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865.0,26.0,S
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698.0,13.0,S
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923.0,8.0292,Q
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077.0,31.3875,S
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950.0,263.0,S
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,,10.5,S
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789.0,52.0,S
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651.0,11.2417,C
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546.0,9.475,S
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668.0,21.0,S
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,,41.5792,C
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958.0,7.8792,Q
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237.0,17.8,S
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295.0,39.6875,S
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,,7.8,S
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,,76.7292,C
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926.0,26.0,S
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509.0,61.9792,C
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697.0,7.2292,C
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,,27.75,S
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,,46.9,S
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669.0,7.2292,C
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,,10.5,S
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,,8.1583,S
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,,46.9,S
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,,73.5,S
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680.0,14.4542,C
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601.0,56.4958,S
